Airline,Flight_Number,Plane_ID,FlightDate,Origin_Airport,Destination_Airport,Flight_Distance,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay_Minutes,Departure_Taxi,Departure_WheelsOff,Scheduled_Arrival_Time,Actual_Arrival_Time,Arrival_Delay_Minutes,Arrival_Taxi,Arrival_WheelsOn,Delay_Reason,hour,date,day,airport,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,precipAccumulation,flight_delayed
CA,6752,GBHWFM,2019-12-01 00:00:00,HIX,VYM,760.0,15,14.0,0.0,28.0,42.0,333,335.0,2.0,4.0,331.0,,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.076879474748,0.99,0,7.629,384.58,rain,0.0,0
CA,7217,GJGUFK,2019-12-01 00:00:00,HIX,TMJ,632.0,15,11.0,0.0,25.0,36.0,310,259.0,0.0,3.0,256.0,,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.076879474748,0.99,0,7.629,384.58,rain,0.0,0
CA,7225,GBFVFM,2019-12-01 00:00:00,HIX,VCN,599.0,15,138.0,83.0,16.0,154.0,316,433.0,77.0,5.0,428.0,Weather,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.076879474748,0.99,0,7.629,384.58,rain,0.0,1
CA,7240,GHMUFY,2019-12-01 00:00:00,HIX,FTC,403.0,15,17.0,2.0,23.0,40.0,149,147.0,0.0,4.0,143.0,,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.076879474748,0.99,0,7.629,384.58,rain,0.0,0
CA,4955,GCKVFM,2019-12-01 00:00:00,HIX,CWE,740.0,600,1405.0,485.0,38.0,1443.0,917,1802.0,525.0,15.0,1747.0,Carrier,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.052707495216,0.96,0,1.193,417.25,rain,0.0,1
CA,7304,GCDTFM,2019-12-01 00:00:00,HIX,KFW,528.0,600,554.0,0.0,17.0,611.0,850,835.0,0.0,6.0,829.0,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.052707495216,0.96,0,1.193,417.25,rain,0.0,0
CA,7094,GJKVFK,2019-12-01 00:00:00,HIX,TCV,723.0,615,608.0,0.0,23.0,631.0,921,914.0,0.0,3.0,911.0,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.052707495216,0.96,0,1.193,417.25,rain,0.0,0
CA,6655,GBJOFM,2019-12-01 00:00:00,HIX,LPL,607.0,620,617.0,0.0,19.0,636.0,909,913.0,4.0,3.0,910.0,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.052707495216,0.96,0,1.193,417.25,rain,0.0,0
CA,4293,GHIQFY,2019-12-01 00:00:00,HIX,UUF,783.0,655,652.0,0.0,16.0,708.0,1007,956.0,0.0,6.0,950.0,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.052707495216,0.96,0,1.193,417.25,rain,0.0,0
CA,6397,GJDVFK,2019-12-01 00:00:00,HIX,TMF,536.0,700,651.0,0.0,25.0,716.0,949,942.0,0.0,4.0,938.0,,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,0
CA,4364,GHIWRJ,2019-12-01 00:00:00,HIX,UNC,621.0,702,739.0,37.0,16.0,755.0,1004,1033.0,29.0,8.0,1025.0,LateAircraft,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,1
CA,7195,GJGPRJ,2019-12-01 00:00:00,HIX,MPM,475.0,705,719.0,14.0,29.0,748.0,944,956.0,12.0,3.0,953.0,,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,0
CA,4321,GHJVFY,2019-12-01 00:00:00,HIX,UEU,409.0,710,742.0,32.0,16.0,758.0,849,903.0,14.0,5.0,858.0,,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,1
CA,4316,GHIQRJ,2019-12-01 00:00:00,HIX,VCY,315.0,715,805.0,50.0,41.0,846.0,941,1045.0,64.0,8.0,1037.0,Carrier,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,1
CA,7081,GJISFK,2019-12-01 00:00:00,HIX,KFU,530.0,745,742.0,0.0,31.0,813.0,1035,1038.0,3.0,7.0,1031.0,,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,0
CA,6865,GHMTFY,2019-12-01 00:00:00,HIX,WKQ,235.0,747,825.0,38.0,12.0,837.0,1013,1037.0,24.0,7.0,1030.0,Carrier,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,1
CA,6385,GJGWFK,2019-12-01 00:00:00,HIX,LGC,174.0,750,744.0,0.0,14.0,758.0,859,841.0,0.0,6.0,835.0,,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0.0,0.0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.080933852464,0.89,0,2.75,416.93,clear,0.0,0
CA,6619,GJDURJ,2019-12-01 00:00:00,HIX,FTC,403.0,805,759.0,0.0,15.0,814.0,943,921.0,0.0,6.0,915.0,,8,2019-12-01,6,Highland,2019-12-01 08:00:00,Overcast,0.0008,0.08,40.04,34.69,37.66,0.92,993.9,7.47,7.57,225.031526315222,0.9,0,8.096,416.53,rain,0.0,0
