Airline,Flight_Number,Plane_ID,FlightDate,Origin_Airport,Destination_Airport,Flight_Distance,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay_Minutes,Departure_Taxi,Departure_WheelsOff,Scheduled_Arrival_Time,Actual_Arrival_Time,Arrival_Delay_Minutes,Arrival_Taxi,Arrival_WheelsOn,Delay_Reason,hour,date,day,airport,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,precipAccumulation,flight_delayed
CA,6752,GBHWFM,2019-12-01,HIX,VYM,760,15,14,0,28,42,333,335,2,4,331,,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.077,0.99,0,7.629,384.58,rain,,0
CA,7217,GJGUFK,2019-12-01,HIX,TMJ,632,15,11,0,25,36,310,259,0,3,256,,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.077,0.99,0,7.629,384.58,rain,,0
CA,7225,GBFVFM,2019-12-01,HIX,VCN,599,15,138,83,16,154,316,433,77,5,428,Weather,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.077,0.99,0,7.629,384.58,rain,,1
CA,7240,GHMUFY,2019-12-01,HIX,FTC,403,15,17,2,23,40,149,147,0,4,143,,1,2019-12-01,6,Highland,2019-12-01 01:00:00,Possible Light Rain,0.0102,0.51,39.52,35.93,37.84,0.93,994.68,5.35,9.46,121.077,0.99,0,7.629,384.58,rain,,0
CA,4955,GCKVFM,2019-12-01,HIX,CWE,740,600,1405,485,38,1443,917,1802,525,15,1747,Carrier,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.053,0.96,0,1.193,417.25,rain,,1
CA,7304,GCDTFM,2019-12-01,HIX,KFW,528,600,554,0,17,611,850,835,0,6,829,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.053,0.96,0,1.193,417.25,rain,,0
CA,7094,GJKVFK,2019-12-01,HIX,TCV,723,615,608,0,23,631,921,914,0,3,911,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.053,0.96,0,1.193,417.25,rain,,0
CA,6655,GBJOFM,2019-12-01,HIX,LPL,607,620,617,0,19,636,909,913,4,3,910,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.053,0.96,0,1.193,417.25,rain,,0
CA,4293,GHIQFY,2019-12-01,HIX,UUF,783,655,652,0,16,708,1007,956,0,6,950,,6,2019-12-01,6,Highland,2019-12-01 06:00:00,Foggy,0.0003,0.03,40.25,37.56,39.74,0.99,993.11,4.13,4.68,163.053,0.96,0,1.193,417.25,rain,,0
CA,6397,GJDVFK,2019-12-01,HIX,TMF,536,700,651,0,25,716,949,942,0,4,938,,7,2019-12-01,6,Highland,2019-12-01 07:00:00,Overcast,0,0,40.18,37.72,39.45,0.97,993.44,4.01,3.8,195.081,0.89,0,2.75,416.93,,,0
